no,first_name,last_name,yr,pos,app,gs,w,l,sv,cg,ip,h,r,er,bb,k,k_7,hr,era,team_name,division
22,Allie,Armstrong,Freshman,P,28,21,3,8,0,7,115.1,175,136,97,51,56,3.4,3,5.89,Lamar State-Port Arthur,1
21,Zora,Brice,Freshman,P,17,11,3,5,1,7,65.1,89,76,52,40,49,5.25,5,5.57,Lamar State-Port Arthur,1
4,Sage,Champagne,Freshman,P/IF,24,4,1,3,0,1,48,80,78,54,46,12,1.75,0,7.88,Lamar State-Port Arthur,1
17,Avery,Zimos,Sophomore,P/OF,15,9,0,2,0,1,32.1,56,72,52,44,6,1.3,2,11.26,Lamar State-Port Arthur,1
25,Bree,Dent,Sophomore,,32,22,11,10,1,13,127.2,164,102,73,28,69,3.78,20,4,Navarro,1
8,Kennedy,Parker,Sophomore,P,25,17,6,6,0,7,103.2,95,82,60,61,121,8.17,19,4.05,Navarro,1
11,Kate,Houser,Freshman,,24,11,7,6,0,1,70.2,86,60,45,60,40,3.96,8,4.46,Navarro,1
2,Braylynn,Henderson,Freshman,RHP,32,24,12,8,2,10,136.2,123,93,64,55,149,7.63,18,3.28,Northeast Texas,1
16,Anna,Green,Freshman,RHP,25,10,7,5,2,1,79.2,100,54,47,23,48,4.22,9,4.13,Northeast Texas,1
1,Daphne,Bogenschutz,Sophomore,RHP,25,10,5,7,0,1,68.1,97,61,51,18,24,2.46,13,5.22,Northeast Texas,1
17,Ashlyn,Castro,Freshman,RHP,1,0,0,0,0,0,3.1,5,3,3,0,0,0,0,6.3,Northeast Texas,1
30,Jaycie,Hall,Sophomore,P,27,23,16,4,2,12,122.1,105,49,34,35,136,7.78,10,1.95,Paris,1
16,Grace,Pippin,Freshman,P,24,10,12,6,0,4,96.1,119,79,50,44,50,3.63,13,3.63,Paris,1
25,Mia,Montes,Freshman,P,17,6,4,4,0,3,50.2,58,40,21,21,30,4.14,9,2.9,Paris,1
2,Samantha,Puente,Sophomore,P,15,6,1,1,0,0,23,33,29,25,22,9,2.74,4,7.61,Paris,1
21,Angelina,Leal,Freshman,P,5,5,1,1,0,0,9.2,10,10,4,7,6,4.34,2,2.9,Paris,1
15,Julianna,Rosas,Freshman,INF,1,0,0,0,0,0,3,9,9,8,2,0,0,1,18.67,Paris,1
5,Hailey,Evans,Freshman,INF,1,0,0,0,0,0,1,2,1,1,1,1,7,0,7,Paris,1
24,Christin,Haygood,Sophomore,NA,31,27,19,2,0,19,149,101,54,32,38,161,7.56,6,1.5,San Jacinto,1
22,Reanna,Nieman,Freshman,NA,28,20,9,7,1,9,100.1,72,49,31,40,112,7.81,7,2.16,San Jacinto,1
27,Hannah,Benavides,Sophomore,NA,14,6,5,2,0,2,42.1,39,32,23,8,34,5.62,3,3.8,San Jacinto,1
4,Kristina,Nash,Freshman,NA,16,3,3,0,0,0,34,43,20,14,12,38,7.82,1,2.88,San Jacinto,1
11,Destiney,Yoder,Freshman,NA,12,2,2,0,0,0,24,35,18,14,5,3,0.88,3,4.08,San Jacinto,1
9,Arriana,Wright,Freshman,NA,11,0,0,3,0,0,12.2,20,20,11,9,12,6.63,0,6.08,San Jacinto,1
3,Rawnie,Weststrate,Sophomore,P/IF,36,0,10,7,1,0,125.1,109,77,45,72,105,5.86,4,2.51,Trinity Valley,1
77,Alessandra,Borjas,Freshman,P/UTL,28,0,10,8,0,0,109.1,127,80,57,57,71,4.55,11,3.65,Trinity Valley,1
22,Nicole,Stuhr,Freshman,P,32,0,9,9,0,0,106.2,135,71,57,42,75,4.92,15,3.74,Trinity Valley,1
9,Morgan,Brandon,Sophomore,P/IF,18,0,3,2,0,0,40.1,65,43,35,16,22,3.82,10,6.07,Trinity Valley,1
33,Hannah,Pacheco,Sophomore,P/IF,4,0,0,3,0,0,5,8,5,5,2,0,0,1,7,Trinity Valley,1
32,Paula,Ocrospoma,Freshman,P/IF,2,0,0,0,0,0,2,4,3,1,2,0,0,1,3.5,Trinity Valley,1
18,Jordyn,Rodriguez,Sophomore,P/OF,32,27,13,8,0,11,137,175,110,86,36,82,4.19,16,4.39,Tyler,1
11,Sierra,Oulette,Freshman,P,26,22,5,15,0,6,103.1,124,81,68,70,82,5.55,13,4.61,Tyler,1
17,Abigail,Ramirez,Sophomore,P,27,1,3,4,1,0,58.2,67,52,35,51,40,4.77,3,4.18,Tyler,1
10,Trinity,Muhle,Sophomore,OF/P,19,3,2,1,0,1,42,52,40,28,19,24,4,6,4.67,Tyler,1
3,Sarah,Wall,Freshman,P,40,31,18,14,1,22,198,157,135,89,107,256,9.05,18,3.15,Monroe College,1
21,Layla,Ramos,Sophomore,P,23,16,6,7,0,4,81.1,127,82,56,18,48,4.13,3,4.82,Monroe College,1
4,Varela,Cappas,Sophomore,P,15,3,2,2,1,0,25.2,37,33,19,9,11,3,3,5.18,Monroe College,1
10,Mia,Colamarino,Sophomore,P,6,2,2,0,0,1,12.1,23,15,12,5,7,3.97,0,6.81,Monroe College,1
12,Shania,Thomas,Sophomore,IF/P,5,1,0,0,0,0,4.1,11,19,8,8,3,4.85,0,12.92,Monroe College,1
11,Ashleigh,Stewart,Sophomore,IF,1,0,0,0,0,0,0.1,1,0,0,0,0,0,0,0,Monroe College,1
33,Chelsea,Beville,Sophomore,P,37,24,17,7,4,18,165,105,70,41,68,230,9.76,14,1.74,Crowder,1
3,Aidan,Dayberry,Sophomore,P,30,28,21,5,0,11,147,140,78,64,34,156,7.43,25,3.05,Crowder,1
13,Jensyn,Elder,Freshman,P,16,5,4,2,0,1,38.2,42,24,23,15,37,6.7,7,4.16,Crowder,1
11,Kinyon,DeCorte,Freshman,P,16,4,3,2,0,1,25.1,39,30,22,13,29,8.01,4,6.08,Crowder,1
25,Aubree,Chisam,Freshman,P,2,0,0,0,0,0,2.1,3,5,1,2,3,9,1,3,Crowder,1
5,SAMI,HUCK,Freshman,P/UTL,29,24,18,5,1,19,160.2,102,41,28,23,245,10.67,5,1.22,Jefferson (MO),1
18,ALEXIS,FINDLEY,Sophomore,P,24,20,12,7,1,15,121.1,91,52,43,39,159,9.17,12,2.48,Jefferson (MO),1
27,MALLOREY,ROGERS,Freshman,P/INF,12,6,5,1,0,0,37,32,21,18,8,28,5.3,4,3.41,Jefferson (MO),1
24,MACKENZIE,DANIELS,Freshman,P/UTL,7,2,2,1,2,0,21,23,14,10,4,15,5,1,3.33,Jefferson (MO),1
16,HATTIE,OSTERMEYER,Freshman,P,1,0,0,0,0,0,0.2,1,0,0,0,1,10.5,0,0,Jefferson (MO),1
13,TAYLOR,MARLER,Freshman,P,1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,Jefferson (MO),1
9,Kasey,Kilburn,Sophomore,NA,26,19,11,9,2,18,134.1,158,104,65,47,161,8.39,12,3.39,Metropolitan,1
25,Myel,White,Sophomore,NA,12,11,2,7,0,9,61,66,51,41,37,66,7.57,9,4.7,Metropolitan,1
11,Avery,Howard,Sophomore,NA,11,10,3,7,0,2,44.1,62,63,53,39,25,3.95,14,8.37,Metropolitan,1
12,Avery,Prather,Freshman,NA,9,7,2,4,0,2,37,61,46,39,17,15,2.84,11,7.38,Metropolitan,1
15,Natalie,Segura,Freshman,NA,7,2,0,2,0,2,20.2,30,25,14,15,7,2.37,0,4.74,Metropolitan,1
23,Jaedyn,Lopez,Freshman,NA,1,0,0,0,0,0,2,3,4,4,2,2,7,1,14,Metropolitan,1
8,Lauren,Krohn,Freshman,,33,27,8,12,0,16,163,188,168,134,130,183,7.86,28,5.75,North Central Missouri,1
10,Maeve,Lavoy,Freshman,,40,27,13,9,0,19,163,251,204,142,67,96,4.12,40,6.1,North Central Missouri,1
7,Emma,Angel,Sophomore,P/OF,7,3,0,1,0,0,11.2,31,36,27,17,9,5.4,5,16.2,North Central Missouri,1
20,Caragan,Baker,Sophomore,P/IF,1,1,0,0,0,0,3.1,6,9,7,3,0,0,0,14.7,North Central Missouri,1
5,Chloe,Helmer,Freshman,,1,0,0,0,0,0,1,1,2,2,1,0,0,0,14,North Central Missouri,1
22,Jocelyn,Cunningham,Sophomore,P/3B,27,25,13,9,0,17,152.1,148,90,59,31,118,5.42,16,2.71,St. Charles,1
25,Anna,Cheatham,Freshman,P,30,24,9,13,1,18,142.2,195,130,93,48,99,4.86,15,4.56,St. Charles,1
6,Kelly,Allensworth,Sophomore,P/1B,15,4,3,2,0,0,40.1,75,56,36,32,12,2.08,3,6.25,St. Charles,1
17,Janna,Joerling,Sophomore,P/1B,2,1,1,0,0,0,2.1,1,5,3,4,3,9,0,9,St. Charles,1
9,Mallory,Waller,Sophomore,OF/UTL,2,0,0,0,0,0,2,2,1,1,1,0,0,0,3.5,St. Charles,1
17,Kennidi,Harris,Sophomore,P,21,20,4,7,0,9,111.2,152,89,58,33,52,3.26,8,3.64,State Fair,1
5,Charlee,Reese,Freshman,P,20,14,2,2,0,3,74.2,113,88,72,47,49,4.59,6,6.75,State Fair,1
12,Grace,VanDenburgh,Freshman,P,13,5,0,3,0,1,34.1,63,38,36,4,12,2.45,7,7.34,State Fair,1
15,Kaycee,Thompson,Sophomore,P,12,3,0,0,0,0,27,41,22,21,11,7,1.81,9,5.44,State Fair,1
23,Alexis,Hughes,Sophomore,P,6,2,0,2,0,2,21.2,29,23,20,6,10,3.23,4,6.46,State Fair,1
19,Tabitha,Imhoff,Sophomore,P,9,2,0,0,0,0,19.2,44,28,22,5,6,2.14,2,7.83,State Fair,1
18,AJ,Agers,Freshman,P/SS,34,29,26,4,0,22,183.2,183,75,56,43,133,5.07,10,2.13,Three Rivers,1
12,Elly,Eckrich,Freshman,P/1B,26,24,14,8,0,11,122,136,87,63,52,134,7.69,20,3.61,Three Rivers,1
16,McKenna,Moore,Sophomore,P,17,3,4,0,0,2,42.1,44,24,20,11,33,5.46,2,3.31,Three Rivers,1
8,Jordan,Moore,Freshman,P,1,0,0,0,0,0,1,0,0,0,3,2,14,0,0,Three Rivers,1
23,Karis,Smith,Freshman,,23,0,9,5,0,0,110.1,122,69,55,43,68,4.31,12,3.49,Abraham Baldwin,1
22,Graysen,Brannen,Sophomore,P/2B,22,1,9,8,0,0,82,86,41,32,40,45,3.84,6,2.73,Abraham Baldwin,1
17,Julianna,Franklin,Sophomore,P,26,0,8,2,0,0,66.1,60,41,34,31,51,5.38,1,3.59,Abraham Baldwin,1
5,Madison,Strickland,Sophomore,P/OF,16,1,2,1,1,1,37.2,46,27,17,14,25,4.65,7,3.16,Abraham Baldwin,1
24,Brittney Paige,Hill,Freshman,,8,0,3,1,0,0,16.1,23,14,14,9,8,3.43,2,6,Abraham Baldwin,1
12,Faith,Stowers,Freshman,P,34,18,1,0,1,12,155,256,183,145,54,32,1.45,39,6.55,Andrew,1
28,Emilee,Register,Sophomore,P,28,15,0,1,0,7,93.1,138,165,116,96,40,3,23,8.7,Andrew,1
24,Abigail,Hopper,Freshman,P,17,13,1,1,0,0,47,81,81,61,39,25,3.72,4,9.09,Andrew,1
0,Phoebe,Durden,Sophomore,,10,4,0,0,0,0,24.1,48,40,26,13,3,0.86,2,7.48,Andrew,1
17,Hailey,Stovall,Sophomore,P,3,1,0,0,0,0,5.1,16,13,12,4,0,0,2,15.75,Andrew,1
36,JESLYN,OLSON,Freshman,P,19,0,4,7,0,0,95.1,118,79,47,12,32,2.35,2,3.45,East Georgia State,1
17,SOPHIE,KRESSE,Sophomore,P,16,0,1,3,0,0,56.1,90,51,43,16,7,0.87,0,5.34,East Georgia State,1
0,ASHLEIGH,MILES,Sophomore,"P, UT",9,2,1,7,0,0,46,48,51,31,19,34,5.17,1,4.72,East Georgia State,1
11,KYLEE,USSERY,Sophomore,"INF, P",5,0,0,2,0,0,9.1,16,18,9,6,2,1.5,2,6.75,East Georgia State,1
10,DESTINY,BOAZ,Sophomore,P,2,0,1,0,0,0,4,5,1,1,4,1,1.75,0,1.75,East Georgia State,1
7,MOLLY,GAYLES,Freshman,"INF, OF",1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,East Georgia State,1
34,Jaycie,Hand,Freshman,,34,25,9,14,1,7,124,198,155,99,33,49,2.77,18,5.59,Georgia Highlands,1
28,Rena,Fraga,Freshman,,28,25,5,11,0,5,101.1,180,119,87,18,25,1.73,18,6.01,Georgia Highlands,1
11,Emma,Veitch,Sophomore,RHP/1B,34,0,4,3,4,0,80,101,82,37,33,65,5.69,6,3.24,Georgia Highlands,1
5,Katie,Traynor,Sophomore,RHP,2,0,0,0,0,0,0,1,2,2,5,0,0,0,Inf,Georgia Highlands,1
27,Addie,Moss,Freshman,,30,24,20,6,2,18,162.1,165,92,66,33,83,3.58,21,2.85,Georgia Military,1
88,Avien,Trull,Sophomore,P/UT,23,23,12,10,0,14,128.1,157,104,72,53,43,2.35,14,3.93,Georgia Military,1
15,Hailey,Daughtry,Freshman,P,18,7,5,2,3,5,61.1,67,39,33,34,30,3.42,8,3.77,Georgia Military,1
22,Katelynn,Anglin,Freshman,,3,1,0,0,0,0,4,10,10,10,6,2,3.5,0,17.5,Georgia Military,1
38,Katelyn,Munoz,Freshman,RHP,37,27,16,12,2,16,169,161,107,67,40,183,7.58,21,2.78,Gordon State,1
26,Taylor,Beigle,Freshman,RHP,30,8,3,7,0,0,70.1,109,73,39,16,32,3.18,1,3.88,Gordon State,1
3,Victoria,O'Neal,Sophomore,RHP,25,11,4,5,0,0,60.2,90,69,51,30,28,3.23,16,5.88,Gordon State,1
20,Raeghan,Byrom,Sophomore,UT,7,0,1,0,0,0,13,16,11,10,6,5,2.69,1,5.38,Gordon State,1
33,Sydney,Knight,Freshman,C,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Gordon State,1
1,Reagan,Waller,Freshman,OF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Gordon State,1
9,Sierra,Ussery,Sophomore,P,44,1,13,26,0,1,250.2,306,214,133,53,207,5.78,33,3.71,South Georgia State,1
33,Keely,Bryant,Sophomore,Util.,8,0,0,4,0,0,22,39,53,28,35,9,2.86,3,8.91,South Georgia State,1
2,Sarina,Elder,Sophomore,P/OF,6,1,1,3,0,1,21.1,35,35,24,19,1,0.33,0,7.88,South Georgia State,1
44,Megan,Lee,Sophomore,C/1B,8,0,0,1,0,0,13.1,36,40,23,25,3,1.57,2,12.07,South Georgia State,1
1,Gracie,Horne,Freshman,OF,2,0,0,2,0,0,1.2,16,20,14,5,0,0,3,58.8,South Georgia State,1
31,Taiah,Wilson,Freshman,Pitcher/Infield,23,22,0,18,0,19,95.2,447,411,322,60,21,1.54,57,23.56,Colorado Northwestern,1
5,Sharzay,Herrera,Freshman,Pitcher/Outfield,18,13,0,10,0,11,61.1,284,317,240,64,8,0.91,56,27.39,Colorado Northwestern,1
23,Presley,Frost,Sophomore,Pitcher/Shortstop,7,5,0,4,0,2,20.1,97,98,94,11,5,1.72,23,32.36,Colorado Northwestern,1
2,Jillian,Boswell,Freshman,Catcher/Outfielder,2,0,0,0,0,0,4,18,19,17,5,1,1.75,0,29.75,Colorado Northwestern,1
5,Tiffany,Hermansen,Freshman,RHP,32,17,15,5,1,9,124.1,139,104,88,71,97,5.46,26,4.95,Salt Lake,1
12,Taylor,Hagen,Freshman,RHP,26,16,11,4,1,5,102,128,95,73,65,76,5.22,12,5.01,Salt Lake,1
29,Bailey,Marvin,Sophomore,RHP,14,11,7,1,0,4,53.1,63,40,38,22,36,4.72,14,4.99,Salt Lake,1
10,Ella,Crookston,Freshman,RHPP,12,8,4,1,0,1,24.1,27,28,26,21,12,3.45,7,7.48,Salt Lake,1
3,Aubree,Leonard,Freshman,RHP,12,1,0,0,0,1,17.2,16,19,16,28,15,5.94,2,6.34,Salt Lake,1
7,Mikelle,Anthony,Sophomore,UTIL,1,1,0,0,0,1,5,3,0,0,1,6,8.4,0,0,Salt Lake,1
6,Kaci,Smith,Sophomore,,24,15,6,9,0,4,77.1,134,88,59,36,54,4.89,6,5.34,Snow,1
7,August,Cowan,Sophomore,,17,10,4,9,1,8,72.2,125,90,72,31,52,5.01,12,6.94,Snow,1
24,Andrea,Sweat,Freshman,P,19,8,4,5,0,4,62,84,70,55,38,54,6.1,11,6.21,Snow,1
33,Kenley,Henson,Freshman,,17,4,3,3,0,0,42.2,67,61,49,32,24,3.94,10,8.04,Snow,1
4,Brinley,Ellsworth,Freshman,P/INF,11,8,3,0,0,1,34,57,39,34,16,31,6.38,7,7,Snow,1
9,Saige,Ewing,Jr,,8,3,3,1,0,1,17,29,29,20,12,18,7.41,3,8.24,Snow,1
7,Gracie,Walters,NA,P,24,23,18,2,1,14,124.1,91,52,46,47,168,9.46,13,2.59,Southern Idaho,1
8,Brooke,Merrill,NA,P,21,15,9,3,3,9,83.1,75,47,38,38,78,6.55,9,3.19,Southern Idaho,1
20,Abby,Hayes,NA,P,23,13,6,6,1,2,80.1,118,80,54,34,45,3.92,18,4.71,Southern Idaho,1
9,Markessa,Jensen,NA,P,20,12,6,4,0,3,63,75,61,56,49,38,4.22,18,6.22,Southern Idaho,1
10,Makenzie,Evans,NA,OF/P,21,0,5,2,1,0,39,47,43,32,43,24,4.31,12,5.74,Southern Idaho,1
40,Laynee,Anzalone,Freshman,P,34,24,15,13,0,16,156,223,162,137,67,161,7.22,26,6.15,Southern Nevada,1
28,Mia,Flores,Freshman,P,23,13,8,4,0,4,69.2,90,67,59,29,30,3.01,14,5.93,Southern Nevada,1
7,Madison,McDowell,Freshman,P,22,17,4,6,0,3,56,84,78,69,46,34,4.25,16,8.63,Southern Nevada,1
20,Alivia,Parks,Freshman,P,19,0,0,2,0,0,40,90,73,65,18,7,1.22,17,11.38,Southern Nevada,1
9,Kylie,Sharapan,Freshman,P/OF,5,2,1,1,0,1,9.2,24,19,14,6,3,2.17,3,10.14,Southern Nevada,1
23,Preslee,Christensen,Freshman,P,35,25,14,8,0,4,110.1,112,97,84,76,97,6.15,21,5.33,Utah State Eastern,1
15,Lexi,Butterfield,Freshman,P,30,10,10,4,1,1,83,125,97,86,45,30,2.53,21,7.25,Utah State Eastern,1
5,Sydney,Smith,Sophomore,P,21,8,2,4,1,1,57.2,88,65,61,35,37,4.49,17,7.4,Utah State Eastern,1
13,Brinley,Johnson,Freshman,P/1B,17,8,3,4,0,2,46,73,53,45,25,23,3.5,9,6.85,Utah State Eastern,1
1,Oakley,Giacoletto,Sophomore,P,9,1,0,0,0,0,14.2,29,23,20,12,14,6.68,4,9.55,Utah State Eastern,1
11,Kiera-Paige,Shumway,Freshman,INF,7,2,3,2,0,1,13.1,16,18,12,9,6,3.15,3,6.3,Utah State Eastern,1
3,Mackenzie,Burton,Sophomore,P/UTL,21,18,13,4,1,15,109,93,41,27,37,76,4.88,4,1.73,Harford,1
10,Caroline,Hilyard,Freshman,P/INF,13,12,8,4,0,9,73,96,52,42,14,44,4.22,5,4.03,Harford,1
7,Riley,Fisher,Freshman,P,7,4,4,1,0,2,29.1,29,13,11,20,5,1.19,0,2.63,Harford,1
46,Jess,Bouthet,Sophomore,UTL,1,0,0,0,0,0,0.2,1,2,0,1,0,0,0,0,Harford,1
21,Jessy,Aston,Freshman,P,29,23,10,9,0,9,112.2,150,109,75,57,49,3.04,6,4.66,Bevill State,1
22,Santana,Clark,Freshman,OF,17,14,7,5,0,4,70.1,111,75,49,31,29,2.89,35,4.88,Bevill State,1
8,Kyla,Edmonson,Freshman,P,31,18,7,3,0,7,58,159,128,87,30,45,5.43,15,10.5,Bevill State,1
20,Katelyn,Makemson,Sophomore,P,20,1,6,1,1,0,49,59,35,32,21,28,4,9,4.57,Bevill State,1
35,Emma,Black,Freshman,P,13,0,0,0,0,0,16,30,24,20,9,5,2.19,5,8.75,Bevill State,1
4,Emily,Adkins,Freshman,P,5,0,0,0,0,0,6.1,9,8,6,2,1,1.11,2,6.63,Bevill State,1
19,Faith,Hardy,Sophomore,P,29,23,16,12,0,12,139.1,185,104,79,49,66,3.32,14,3.97,Bishop State,1
29,Lauren,Glass,Sophomore,P,26,21,11,6,0,8,112.2,135,73,49,40,49,3.04,4,3.04,Bishop State,1
18,Grace,Lucus,Sophomore,P,15,6,2,6,0,3,48,73,56,36,30,17,2.48,8,5.25,Bishop State,1
23,Chloe,Mosley,Sophomore,P,13,3,3,0,1,2,36,34,22,16,18,8,1.56,6,3.11,Bishop State,1
30,Alana,Fussell,Freshman,P,10,3,1,1,0,1,26,43,23,19,18,16,4.31,3,5.12,Bishop State,1
21,Rylie,Tittle,Freshman,P,30,27,11,12,1,18,156.1,165,101,72,42,125,5.6,13,3.22,Calhoun,1
15,Rylie,Bearden,Freshman,P,21,7,5,4,2,0,47.1,73,62,42,20,19,2.81,4,6.21,Calhoun,1
2,Anna Grace,Luker,Freshman,OF/P,16,7,2,4,2,1,38.2,50,32,27,14,13,2.35,3,4.89,Calhoun,1
9,Linzie,Wilson,Freshman,INF,9,2,0,2,0,0,21.2,21,26,15,12,9,2.91,2,4.85,Calhoun,1
5,Alyssa,Harwell,Freshman,P,12,1,2,0,0,0,18,30,32,22,17,7,2.72,3,8.56,Calhoun,1
14,Katlyan,Dulaney,Freshman,INF/P,6,4,1,3,0,0,16,34,30,17,6,10,4.38,2,7.44,Calhoun,1
29,Ashlyn,Potter,Freshman,UTL,6,0,0,1,0,0,12.1,10,7,6,1,4,2.27,1,3.41,Calhoun,1
16,Lexi,Dobbins,Freshman,INF,3,0,0,0,0,0,3,6,7,4,1,2,4.67,3,9.33,Calhoun,1
9,Jenna,Castleberry,Freshman,NA,29,29,18,6,0,14,150.1,127,80,70,50,125,5.82,21,3.26,Central Alabama,1
1,Leah,Patterson,Sophomore,NA,29,24,14,9,0,16,145,134,75,61,55,108,5.21,15,2.94,Central Alabama,1
23,Samantha,Melton,Sophomore,NA,22,6,5,4,5,3,64.2,95,59,43,22,33,3.57,8,4.65,Central Alabama,1
11,Alexis,Walls,Freshman,NA,12,1,2,2,1,1,31,56,38,29,6,7,1.58,7,6.55,Central Alabama,1
35,Carly,Puckett,Sophomore,P/UTL,29,21,6,17,0,9,123,179,130,85,53,46,2.62,19,4.84,Chattahoochee Valley,1
3,Desalynn,Nesbitt,Sophomore,P/DP/UTL,19,10,2,7,0,5,63.1,100,68,51,31,28,3.09,12,5.64,Chattahoochee Valley,1
14,Addison,Woodham,Sophomore,P/1B,18,13,2,8,0,3,53.1,102,84,62,27,27,3.54,11,8.14,Chattahoochee Valley,1
15,Haley,Thomason,Sophomore,P/INF,21,4,1,3,1,1,44.2,66,61,29,30,16,2.51,6,4.54,Chattahoochee Valley,1
11,Bekah,Hargrove,Freshman,OF,3,0,0,0,0,0,3.1,8,11,11,5,0,0,1,23.1,Chattahoochee Valley,1
14,Shellie,Littlefield,Freshman,"P, 1B",44,36,26,13,0,28,245,253,161,129,109,118,3.37,32,3.69,Coastal Alabama - Bay Minette,1
25,Desiree,Denmark,Freshman,"P, OF",29,23,7,10,0,9,96.1,159,124,84,47,24,1.74,17,6.1,Coastal Alabama - Bay Minette,1
26,Danielle,McCartney,Sophomore,"3B, C",15,3,2,1,0,0,28.1,41,35,26,24,10,2.47,9,6.42,Coastal Alabama - Bay Minette,1
0,Madelyn,Becker,Freshman,3B,4,0,0,1,0,0,11,21,23,16,11,4,2.55,1,10.18,Coastal Alabama - Bay Minette,1
6,Hollie,Graham,Freshman,RHP,30,21,7,11,0,9,133,142,124,89,55,36,1.89,23,4.68,Coastal Alabama - Brewton,1
28,Kylee,Necaise,Freshman,RHP,26,19,3,18,0,4,96,136,131,101,50,31,2.26,19,7.36,Coastal Alabama - Brewton,1
14,Ella,Kraszewski,Freshman,RHP/OF,23,9,0,6,1,2,56,84,81,69,35,29,3.63,12,8.63,Coastal Alabama - Brewton,1
1,MaKenzie,Thomas,Freshman,UTL,20,3,1,2,0,0,30.2,67,63,35,17,4,0.91,5,7.99,Coastal Alabama - Brewton,1
12,Emily,Phillips,Sophomore,P/SS,25,23,17,5,0,19,151.2,115,58,35,25,169,7.8,14,1.62,Coastal Alabama - Monroeville,1
6,Megan,Roe,Freshman,P/1B,29,19,9,11,1,10,139.1,165,118,64,45,84,4.22,11,3.22,Coastal Alabama - Monroeville,1
1,Peyton,Adams,,P,17,12,4,5,0,3,60.2,68,66,50,50,47,5.42,9,5.77,Coastal Alabama - Monroeville,1
8,Gracen,Hodges,,P,12,3,0,1,1,0,17.1,34,24,18,3,8,3.23,1,7.27,Coastal Alabama - Monroeville,1
15,Olivia,Shadburn,Sophomore,P/Util.,4,0,0,0,0,0,1.2,7,8,5,3,0,0,0,21,Coastal Alabama - Monroeville,1
21,Kyleigh,Coin,Sophomore,,31,26,9,7,0,20,153,157,143,96,126,87,3.98,9,4.39,Enterprise State,1
8,Maggie,Furr,Freshman,,28,16,4,4,0,8,107,166,122,105,33,24,1.57,6,6.87,Enterprise State,1
9,Aurlee,Perkins,Freshman,,12,0,0,0,0,0,18.1,41,26,22,13,2,0.76,2,8.4,Enterprise State,1
27,Bailey,Jenkins,Sophomore,3B,7,5,1,3,0,1,16.2,40,36,35,12,3,1.26,4,14.7,Enterprise State,1
14,Maddie,Smith,Sophomore,P/2B,6,4,0,0,0,0,13,19,17,14,10,6,3.23,0,7.54,Enterprise State,1
16,Abbi,Hataway,Freshman,,3,0,0,0,0,0,3,9,6,4,2,0,0,0,9.33,Enterprise State,1
8,Madelyn,Watson,Sophomore,RHP,17,14,3,1,0,9,73.2,79,65,38,42,63,5.99,5,3.61,Lurleen B. Wallace,1
3,Lauren,Hudson,Sophomore,RHP,13,12,1,1,0,8,64,65,42,21,30,17,1.86,2,2.3,Lurleen B. Wallace,1
50,Faith,Daniel,Sophomore,RHP,13,9,1,0,0,5,55,63,47,26,25,21,2.67,1,3.31,Lurleen B. Wallace,1
7,Riley,Sweeney,Sophomore,OF/RHP,11,2,1,1,0,1,30.2,39,40,22,13,20,4.57,2,5.02,Lurleen B. Wallace,1
18,Madison,Poplin,Freshman,LHP/1B,10,3,1,0,0,1,27.2,34,24,16,8,12,3.04,3,4.05,Lurleen B. Wallace,1
22,Emily,Taylor,Freshman,RHP/1B,8,2,0,0,0,0,18.1,18,22,15,9,9,3.44,2,5.73,Lurleen B. Wallace,1
6,Abbey,Glidewell,Freshman,RHP,4,3,0,0,0,0,12.2,16,22,7,11,6,3.32,0,3.87,Lurleen B. Wallace,1
1,Courtney,Lunsford,Jr,INF/P,2,2,0,0,0,0,2.2,9,13,8,2,0,0,1,21,Lurleen B. Wallace,1
14,Jessie,Steadman,Sophomore,RHP,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Lurleen B. Wallace,1
55,Kinley,Bolton,Sophomore,P,35,29,19,11,1,19,183.2,162,78,66,56,164,6.25,14,2.52,Marion Military,1
14,Harleigh,Anderson,Sophomore,P,26,19,10,5,1,6,96.1,138,86,74,38,42,3.05,10,5.38,Marion Military,1
21,Ashley,Maddox,Freshman,P,24,5,3,1,0,1,55.1,93,55,48,13,23,2.91,12,6.07,Marion Military,1
9,Jaylee,Crow,Freshman,P,11,3,2,2,0,0,23,35,20,13,5,9,2.74,1,3.96,Marion Military,1
32,Taylor,Cameron,Freshman,P,30,26,6,18,1,17,159.1,171,146,101,102,125,5.49,16,4.44,Northwest-Shoals Community College,1
4,Mycala,Mitchell,Freshman,P,27,21,4,16,2,15,121.2,165,114,91,36,73,4.2,10,5.24,Northwest-Shoals Community College,1
73,Chloe,Handley,Freshman,OF/P,9,5,3,2,0,1,26,37,45,35,26,13,3.5,3,9.42,Northwest-Shoals Community College,1
21,Brooklyn,Owens,Freshman,INF/P,13,1,1,2,0,0,18.2,46,49,24,11,10,3.75,4,9,Northwest-Shoals Community College,1
5,Rachel,Whiddon,Sophomore,RHP,32,25,10,5,2,17,146.2,193,114,77,35,89,4.25,4,3.68,Shelton State,1
